VHSBNR;VNR;VNAME;NHSBNR;NNR;NNAME;ZEIT
26901;269;"Dresden Moritzburger Weg";26901;269;"Dresden Moritzburger Weg";0
26902;269;"Dresden Moritzburger Weg";26902;269;"Dresden Moritzburger Weg";120
26902;269;"Dresden Moritzburger Weg";26901;269;"Dresden Moritzburger Weg";120
27001;270;"Dresden Infineon Süd";27001;270;"Dresden Infineon Süd";120
27001;270;"Dresden Infineon Süd";27002;270;"Dresden Infineon Süd";120
27002;270;"Dresden Infineon Süd";27001;270;"Dresden Infineon Süd";120
27002;270;"Dresden Infineon Süd";27002;270;"Dresden Infineon Süd";120
27003;270;"Dresden Infineon Süd";27003;270;"Dresden Infineon Süd";120
27101;271;"Dresden Am Hellerrand";27101;271;"Dresden Am Hellerrand";120
27201;272;"Dresden Heinrich-Tessenow-Weg";27201;272;"Dresden Heinrich-Tessenow-Weg";120
27201;272;"Dresden Heinrich-Tessenow-Weg";27203;272;"Dresden Heinrich-Tessenow-Weg";120
27201;272;"Dresden Heinrich-Tessenow-Weg";27202;272;"Dresden Heinrich-Tessenow-Weg";120
27202;272;"Dresden Heinrich-Tessenow-Weg";27201;272;"Dresden Heinrich-Tessenow-Weg";120
27202;272;"Dresden Heinrich-Tessenow-Weg";27203;272;"Dresden Heinrich-Tessenow-Weg";120
27202;272;"Dresden Heinrich-Tessenow-Weg";27202;272;"Dresden Heinrich-Tessenow-Weg";120
27203;272;"Dresden Heinrich-Tessenow-Weg";27203;272;"Dresden Heinrich-Tessenow-Weg";120
27203;272;"Dresden Heinrich-Tessenow-Weg";27202;272;"Dresden Heinrich-Tessenow-Weg";120
27203;272;"Dresden Heinrich-Tessenow-Weg";27201;272;"Dresden Heinrich-Tessenow-Weg";120
27301;273;"Dresden Festspielhaus Hellerau";27301;273;"Dresden Festspielhaus Hellerau";120
27401;274;"Dresden Brunnenweg";27401;274;"Dresden Brunnenweg";120
27501;275;"Dresden Hellerau Kiefernweg";27501;275;"Dresden Hellerau Kiefernweg";120
27601;276;"Dresden Infineon Nord";27601;276;"Dresden Infineon Nord";120
27701;277;"Dresden Karl-Marx-Straße";27701;277;"Dresden Karl-Marx-Straße";120
27801;278;"Dresden Zur Neuen Brücke";27801;278;"Dresden Zur Neuen Brücke";120
27801;278;"Dresden Zur Neuen Brücke";27802;278;"Dresden Zur Neuen Brücke";120
27802;278;"Dresden Zur Neuen Brücke";27802;278;"Dresden Zur Neuen Brücke";120
27802;278;"Dresden Zur Neuen Brücke";27801;278;"Dresden Zur Neuen Brücke";120
27901;279;"Dresden Käthe-Kollwitz-Platz";27901;279;"Dresden Käthe-Kollwitz-Platz";120
27901;279;"Dresden Käthe-Kollwitz-Platz";27903;279;"Dresden Käthe-Kollwitz-Platz";120
27901;279;"Dresden Käthe-Kollwitz-Platz";27902;279;"Dresden Käthe-Kollwitz-Platz";120
27902;279;"Dresden Käthe-Kollwitz-Platz";27901;279;"Dresden Käthe-Kollwitz-Platz";120
27902;279;"Dresden Käthe-Kollwitz-Platz";27903;279;"Dresden Käthe-Kollwitz-Platz";120
27902;279;"Dresden Käthe-Kollwitz-Platz";27902;279;"Dresden Käthe-Kollwitz-Platz";120
27903;279;"Dresden Käthe-Kollwitz-Platz";27901;279;"Dresden Käthe-Kollwitz-Platz";120
27903;279;"Dresden Käthe-Kollwitz-Platz";27903;279;"Dresden Käthe-Kollwitz-Platz";120
27903;279;"Dresden Käthe-Kollwitz-Platz";27902;279;"Dresden Käthe-Kollwitz-Platz";120
28001;280;"Dresden Arkonastraße";28001;280;"Dresden Arkonastraße";120
28101;281;"DD Industriepark Klotzsche";28101;281;"DD Industriepark Klotzsche";120
28101;281;"DD Industriepark Klotzsche";28102;281;"DD Industriepark Klotzsche";120
28102;281;"DD Industriepark Klotzsche";28102;281;"DD Industriepark Klotzsche";120
28102;281;"DD Industriepark Klotzsche";28101;281;"DD Industriepark Klotzsche";120
29001;290;"Dresden Pulsnitzer Straße";29001;290;"Dresden Pulsnitzer Straße";120
29101;291;"Dresden Diakonissenkrankenhaus";29101;291;"Dresden Diakonissenkrankenhaus";120
29201;292;"Dresden Nordstraße";29202;292;"Dresden Nordstraße";180
29201;292;"Dresden Nordstraße";29201;292;"Dresden Nordstraße";120
29202;292;"Dresden Nordstraße";29202;292;"Dresden Nordstraße";120
29202;292;"Dresden Nordstraße";29201;292;"Dresden Nordstraße";180
29301;293;"Dresden Waldschlößchen";29302;293;"Dresden Waldschlößchen";240
29301;293;"Dresden Waldschlößchen";29301;293;"Dresden Waldschlößchen";120
29301;293;"Dresden Waldschlößchen";29303;293;"Dresden Waldschlößchen";120
29302;293;"Dresden Waldschlößchen";29302;293;"Dresden Waldschlößchen";120
29302;293;"Dresden Waldschlößchen";29301;293;"Dresden Waldschlößchen";240
29302;293;"Dresden Waldschlößchen";29303;293;"Dresden Waldschlößchen";300
29303;293;"Dresden Waldschlößchen";29302;293;"Dresden Waldschlößchen";300
29303;293;"Dresden Waldschlößchen";29301;293;"Dresden Waldschlößchen";120
29303;293;"Dresden Waldschlößchen";29303;293;"Dresden Waldschlößchen";120
29401;294;"Dresden Angelikastraße";29401;294;"Dresden Angelikastraße";120
29501;295;"Dresden Wilhelminenstraße";29501;295;"Dresden Wilhelminenstraße";120
29601;296;"Dresden Elbschlösser";29601;296;"Dresden Elbschlösser";120
29701;297;"Dresden Mordgrundbrücke";29701;297;"Dresden Mordgrundbrücke";120
29801;298;"Dresden Plattleite";29801;298;"Dresden Plattleite";120
29901;299;"Dresden Am Weißen Adler";29901;299;"Dresden Am Weißen Adler";120
30002;300;"Dresden Neubühlauer Straße";30002;300;"Dresden Neubühlauer Straße";120
30101;301;"Dresden Grundstraße";30101;301;"Dresden Grundstraße";120
30201;302;"Dresden Bühlau Ullersdorfer Pl";30201;302;"Dresden Bühlau Ullersdorfer Pl";120
30201;302;"Dresden Bühlau Ullersdorfer Pl";30203;302;"Dresden Bühlau Ullersdorfer Pl";180
30201;302;"Dresden Bühlau Ullersdorfer Pl";30202;302;"Dresden Bühlau Ullersdorfer Pl";120
30202;302;"Dresden Bühlau Ullersdorfer Pl";30201;302;"Dresden Bühlau Ullersdorfer Pl";120
30202;302;"Dresden Bühlau Ullersdorfer Pl";30203;302;"Dresden Bühlau Ullersdorfer Pl";180
30202;302;"Dresden Bühlau Ullersdorfer Pl";30202;302;"Dresden Bühlau Ullersdorfer Pl";120
30203;302;"Dresden Bühlau Ullersdorfer Pl";30203;302;"Dresden Bühlau Ullersdorfer Pl";120
30203;302;"Dresden Bühlau Ullersdorfer Pl";30202;302;"Dresden Bühlau Ullersdorfer Pl";180
30203;302;"Dresden Bühlau Ullersdorfer Pl";30201;302;"Dresden Bühlau Ullersdorfer Pl";180
30501;305;"Dresden Hegereiterstraße";30501;305;"Dresden Hegereiterstraße";120
31101;311;"Dresden Strehlener Platz";31101;311;"Dresden Strehlener Platz";120
31101;311;"Dresden Strehlener Platz";31102;311;"Dresden Strehlener Platz";120
31102;311;"Dresden Strehlener Platz";31101;311;"Dresden Strehlener Platz";120
31102;311;"Dresden Strehlener Platz";31102;311;"Dresden Strehlener Platz";120
31201;312;"Dresden Zellescher Weg";31202;312;"Dresden Zellescher Weg";120
31201;312;"Dresden Zellescher Weg";31201;312;"Dresden Zellescher Weg";120
31202;312;"Dresden Zellescher Weg";31202;312;"Dresden Zellescher Weg";120
31202;312;"Dresden Zellescher Weg";31201;312;"Dresden Zellescher Weg";120
31301;313;"Dresden Räcknitzhöhe";31301;313;"Dresden Räcknitzhöhe";120
31401;314;"Dresden Münzmeisterstraße";31402;314;"Dresden Münzmeisterstraße";120
31401;314;"Dresden Münzmeisterstraße";31401;314;"Dresden Münzmeisterstraße";120
31402;314;"Dresden Münzmeisterstraße";31402;314;"Dresden Münzmeisterstraße";120
31402;314;"Dresden Münzmeisterstraße";31401;314;"Dresden Münzmeisterstraße";120
32101;321;"Dresden Albert-Wolf-Platz";32102;321;"Dresden Albert-Wolf-Platz";240
32101;321;"Dresden Albert-Wolf-Platz";32101;321;"Dresden Albert-Wolf-Platz";120
32102;321;"Dresden Albert-Wolf-Platz";32102;321;"Dresden Albert-Wolf-Platz";120
32102;321;"Dresden Albert-Wolf-Platz";32101;321;"Dresden Albert-Wolf-Platz";240
32201;322;"Dresden Jacob-Winter-Platz";32201;322;"Dresden Jacob-Winter-Platz";120
32201;322;"Dresden Jacob-Winter-Platz";32202;322;"Dresden Jacob-Winter-Platz";120
32202;322;"Dresden Jacob-Winter-Platz";32202;322;"Dresden Jacob-Winter-Platz";120
32202;322;"Dresden Jacob-Winter-Platz";32201;322;"Dresden Jacob-Winter-Platz";120
32301;323;"Dresden Georg-Palitzsch-Straße";32302;323;"Dresden Georg-Palitzsch-Straße";120
32301;323;"Dresden Georg-Palitzsch-Straße";32301;323;"Dresden Georg-Palitzsch-Straße";120
32302;323;"Dresden Georg-Palitzsch-Straße";32302;323;"Dresden Georg-Palitzsch-Straße";120
32302;323;"Dresden Georg-Palitzsch-Straße";32301;323;"Dresden Georg-Palitzsch-Straße";120
33101;331;"Dresden Julius-Vahlteich-Str.";33102;331;"Dresden Julius-Vahlteich-Str.";120
33101;331;"Dresden Julius-Vahlteich-Str.";33101;331;"Dresden Julius-Vahlteich-Str.";120
33102;331;"Dresden Julius-Vahlteich-Str.";33102;331;"Dresden Julius-Vahlteich-Str.";120
33102;331;"Dresden Julius-Vahlteich-Str.";33101;331;"Dresden Julius-Vahlteich-Str.";120
33201;332;"Dresden Dahlienweg";33202;332;"Dresden Dahlienweg";120
33201;332;"Dresden Dahlienweg";33201;332;"Dresden Dahlienweg";120
33202;332;"Dresden Dahlienweg";33202;332;"Dresden Dahlienweg";120
33202;332;"Dresden Dahlienweg";33201;332;"Dresden Dahlienweg";120
33301;333;"Dresden Coventrystraße";33301;333;"Dresden Coventrystraße";120
33301;333;"Dresden Coventrystraße";33302;333;"Dresden Coventrystraße";180
33302;333;"Dresden Coventrystraße";33301;333;"Dresden Coventrystraße";180
33302;333;"Dresden Coventrystraße";33302;333;"Dresden Coventrystraße";120
33401;334;"Dresden Amalie-Dietrich-Platz";33401;334;"Dresden Amalie-Dietrich-Platz";120
33501;335;"Dresden Merianplatz";33501;335;"Dresden Merianplatz";120
33601;336;"Dresden Kirschenstraße";33601;336;"Dresden Kirschenstraße";120
33701;337;"Dresden Schlehenstraße";33701;337;"Dresden Schlehenstraße";120
33801;338;"Dresden Betriebshof Gorbitz";33804;338;"Dresden Betriebshof Gorbitz";120
33801;338;"Dresden Betriebshof Gorbitz";33801;338;"Dresden Betriebshof Gorbitz";120
33804;338;"Dresden Betriebshof Gorbitz";33804;338;"Dresden Betriebshof Gorbitz";120
33804;338;"Dresden Betriebshof Gorbitz";33801;338;"Dresden Betriebshof Gorbitz";120
34001;340;"Dresden Altnossener Straße";34001;340;"Dresden Altnossener Straße";120
34001;340;"Dresden Altnossener Straße";34002;340;"Dresden Altnossener Straße";120
34002;340;"Dresden Altnossener Straße";34002;340;"Dresden Altnossener Straße";120
34002;340;"Dresden Altnossener Straße";34001;340;"Dresden Altnossener Straße";120
34101;341;"Gompitz Rudolf-Walther-Straße";34102;341;"Gompitz Rudolf-Walther-Straße";120
34101;341;"Gompitz Rudolf-Walther-Straße";34101;341;"Gompitz Rudolf-Walther-Straße";120
34102;341;"Gompitz Rudolf-Walther-Straße";34102;341;"Gompitz Rudolf-Walther-Straße";120
34102;341;"Gompitz Rudolf-Walther-Straße";34101;341;"Gompitz Rudolf-Walther-Straße";120
34201;342;"Gompitz Gompitzer Höhe";34201;342;"Gompitz Gompitzer Höhe";120
34401;344;"Pennrich Gleisschleife";34403;344;"Pennrich Gleisschleife";120
34401;344;"Pennrich Gleisschleife";34402;344;"Pennrich Gleisschleife";180
34401;344;"Pennrich Gleisschleife";34401;344;"Pennrich Gleisschleife";120
34402;344;"Pennrich Gleisschleife";34402;344;"Pennrich Gleisschleife";120
34402;344;"Pennrich Gleisschleife";34401;344;"Pennrich Gleisschleife";180
34402;344;"Pennrich Gleisschleife";34403;344;"Pennrich Gleisschleife";240
34403;344;"Pennrich Gleisschleife";34402;344;"Pennrich Gleisschleife";240
34403;344;"Pennrich Gleisschleife";34401;344;"Pennrich Gleisschleife";120
34403;344;"Pennrich Gleisschleife";34403;344;"Pennrich Gleisschleife";120
52001;520;"Dresden Alberthafen";52001;520;"Dresden Alberthafen";120
52201;522;"Dresden Messe Dresden";52201;522;"Dresden Messe Dresden";120
52601;526;"Dresden Messering (Halle 1)";52601;526;"Dresden Messering (Halle 1)";120
58501;585;"Dresden Riegelplatz";58502;585;"Dresden Riegelplatz";120
58501;585;"Dresden Riegelplatz";58501;585;"Dresden Riegelplatz";120
58502;585;"Dresden Riegelplatz";58502;585;"Dresden Riegelplatz";120
58502;585;"Dresden Riegelplatz";58501;585;"Dresden Riegelplatz";120
58801;588;"Dresden ElbePark";58801;588;"Dresden ElbePark";120
79101;791;"Dresden Prohlis Gleisschleife";79101;791;"Dresden Prohlis Gleisschleife";120
79102;791;"Dresden Prohlis Gleisschleife";79102;791;"Dresden Prohlis Gleisschleife";120
82401;824;"Dresden Spenerstraße";82401;824;"Dresden Spenerstraße";120
91901;919;"Dresden Hp Dobritz";91904;919;"Dresden Hp Dobritz";60
91901;919;"Dresden Hp Dobritz";91906;919;"Dresden Hp Dobritz";120
91901;919;"Dresden Hp Dobritz";91901;919;"Dresden Hp Dobritz";120
91901;919;"Dresden Hp Dobritz";91905;919;"Dresden Hp Dobritz";60
91901;919;"Dresden Hp Dobritz";91905;919;"Dresden Hp Dobritz";60
91902;919;"Dresden Hp Dobritz";91903;919;"Dresden Hp Dobritz";120
91902;919;"Dresden Hp Dobritz";91904;919;"Dresden Hp Dobritz";120
91902;919;"Dresden Hp Dobritz";91906;919;"Dresden Hp Dobritz";60
91902;919;"Dresden Hp Dobritz";91905;919;"Dresden Hp Dobritz";120
91902;919;"Dresden Hp Dobritz";91902;919;"Dresden Hp Dobritz";120
91903;919;"Dresden Hp Dobritz";91904;919;"Dresden Hp Dobritz";120
91903;919;"Dresden Hp Dobritz";91906;919;"Dresden Hp Dobritz";180
91903;919;"Dresden Hp Dobritz";91905;919;"Dresden Hp Dobritz";180
91903;919;"Dresden Hp Dobritz";91902;919;"Dresden Hp Dobritz";120
91903;919;"Dresden Hp Dobritz";91903;919;"Dresden Hp Dobritz";120
91904;919;"Dresden Hp Dobritz";91901;919;"Dresden Hp Dobritz";60
91904;919;"Dresden Hp Dobritz";91902;919;"Dresden Hp Dobritz";120
91904;919;"Dresden Hp Dobritz";91903;919;"Dresden Hp Dobritz";120
91905;919;"Dresden Hp Dobritz";91901;919;"Dresden Hp Dobritz";60
91905;919;"Dresden Hp Dobritz";91902;919;"Dresden Hp Dobritz";120
91905;919;"Dresden Hp Dobritz";91903;919;"Dresden Hp Dobritz";180
91905;919;"Dresden Hp Dobritz";91901;919;"Dresden Hp Dobritz";60
91906;919;"Dresden Hp Dobritz";91902;919;"Dresden Hp Dobritz";60
91906;919;"Dresden Hp Dobritz";91903;919;"Dresden Hp Dobritz";180
91906;919;"Dresden Hp Dobritz";91901;919;"Dresden Hp Dobritz";120
414401;4144;"Weinböhla (Rathausstraße)";414401;4144;"Weinböhla (Rathausstraße)";120
414401;4144;"Weinböhla (Rathausstraße)";414402;4144;"Weinböhla (Rathausstraße)";180
414402;4144;"Weinböhla (Rathausstraße)";414401;4144;"Weinböhla (Rathausstraße)";180
414402;4144;"Weinböhla (Rathausstraße)";414402;4144;"Weinböhla (Rathausstraße)";120
414701;4147;"Weinböhla Köhlerstraße";414702;4147;"Weinböhla Köhlerstraße";180
414701;4147;"Weinböhla Köhlerstraße";414701;4147;"Weinböhla Köhlerstraße";120
414701;4147;"Weinböhla Köhlerstraße";414703;4147;"Weinböhla Köhlerstraße";180
414702;4147;"Weinböhla Köhlerstraße";414701;4147;"Weinböhla Köhlerstraße";180
414702;4147;"Weinböhla Köhlerstraße";414703;4147;"Weinböhla Köhlerstraße";180
414702;4147;"Weinböhla Köhlerstraße";414702;4147;"Weinböhla Köhlerstraße";120
414703;4147;"Weinböhla Köhlerstraße";414701;4147;"Weinböhla Köhlerstraße";180
414703;4147;"Weinböhla Köhlerstraße";414703;4147;"Weinböhla Köhlerstraße";120
414703;4147;"Weinböhla Köhlerstraße";414702;4147;"Weinböhla Köhlerstraße";180
415601;4156;"Coswig Salzstraße (Strab)";415601;4156;"Coswig Salzstraße (Strab)";120
415601;4156;"Coswig Salzstraße (Strab)";415602;4156;"Coswig Salzstraße (Strab)";360
415602;4156;"Coswig Salzstraße (Strab)";415601;4156;"Coswig Salzstraße (Strab)";360
415602;4156;"Coswig Salzstraße (Strab)";415602;4156;"Coswig Salzstraße (Strab)";120
415701;4157;"Coswig Auerstraße";415702;4157;"Coswig Auerstraße";120
415701;4157;"Coswig Auerstraße";415701;4157;"Coswig Auerstraße";120
415702;4157;"Coswig Auerstraße";415702;4157;"Coswig Auerstraße";120
415702;4157;"Coswig Auerstraße";415701;4157;"Coswig Auerstraße";120
415801;4158;"Coswig Steinbacher Weg";415801;4158;"Coswig Steinbacher Weg";120
415801;4158;"Coswig Steinbacher Weg";415802;4158;"Coswig Steinbacher Weg";120
415802;4158;"Coswig Steinbacher Weg";415802;4158;"Coswig Steinbacher Weg";120
415802;4158;"Coswig Steinbacher Weg";415801;4158;"Coswig Steinbacher Weg";120
416001;4160;"Coswig Zentrum/ Börse";416002;4160;"Coswig Zentrum/ Börse";120
416001;4160;"Coswig Zentrum/ Börse";416001;4160;"Coswig Zentrum/ Börse";120
416002;4160;"Coswig Zentrum/ Börse";416002;4160;"Coswig Zentrum/ Börse";120
416002;4160;"Coswig Zentrum/ Börse";416001;4160;"Coswig Zentrum/ Börse";120
416801;4168;"Coswig Radebeuler Straße";416802;4168;"Coswig Radebeuler Straße";360
416801;4168;"Coswig Radebeuler Straße";416801;4168;"Coswig Radebeuler Straße";120
416802;4168;"Coswig Radebeuler Straße";416802;4168;"Coswig Radebeuler Straße";120
416802;4168;"Coswig Radebeuler Straße";416801;4168;"Coswig Radebeuler Straße";360
418501;4185;"Coswig Rathaus";418501;4185;"Coswig Rathaus";120
421401;4214;"Radebeul Forststraße";421401;4214;"Radebeul Forststraße";120
421501;4215;"Radebeul Ost (Schillerstraße)";421501;4215;"Radebeul Ost (Schillerstraße)";120
421601;4216;"Radebeul Zinzendorfstraße";421601;4216;"Radebeul Zinzendorfstraße";120
421701;4217;"Radebeul Hauptstraße";421701;4217;"Radebeul Hauptstraße";120
421801;4218;"Radebeul Schildenstraße";421802;4218;"Radebeul Schildenstraße";120
421801;4218;"Radebeul Schildenstraße";421801;4218;"Radebeul Schildenstraße";60
421802;4218;"Radebeul Schildenstraße";421802;4218;"Radebeul Schildenstraße";60
421802;4218;"Radebeul Schildenstraße";421801;4218;"Radebeul Schildenstraße";120
421901;4219;"Radebeul Wasastraße";421901;4219;"Radebeul Wasastraße";120
422101;4221;"Radebeul Landesbühnen Sachsen";422101;4221;"Radebeul Landesbühnen Sachsen";120
422101;4221;"Radebeul Landesbühnen Sachsen";422103;4221;"Radebeul Landesbühnen Sachsen";180
422101;4221;"Radebeul Landesbühnen Sachsen";422102;4221;"Radebeul Landesbühnen Sachsen";180
422102;4221;"Radebeul Landesbühnen Sachsen";422103;4221;"Radebeul Landesbühnen Sachsen";300
422102;4221;"Radebeul Landesbühnen Sachsen";422102;4221;"Radebeul Landesbühnen Sachsen";120
422102;4221;"Radebeul Landesbühnen Sachsen";422101;4221;"Radebeul Landesbühnen Sachsen";180
422103;4221;"Radebeul Landesbühnen Sachsen";422102;4221;"Radebeul Landesbühnen Sachsen";300
422103;4221;"Radebeul Landesbühnen Sachsen";422101;4221;"Radebeul Landesbühnen Sachsen";180
422103;4221;"Radebeul Landesbühnen Sachsen";422103;4221;"Radebeul Landesbühnen Sachsen";120
422201;4222;"Radebeul Zillerstraße";422202;4222;"Radebeul Zillerstraße";300
422201;4222;"Radebeul Zillerstraße";422201;4222;"Radebeul Zillerstraße";120
422201;4222;"Radebeul Zillerstraße";422203;4222;"Radebeul Zillerstraße";180
422202;4222;"Radebeul Zillerstraße";422202;4222;"Radebeul Zillerstraße";120
422202;4222;"Radebeul Zillerstraße";422201;4222;"Radebeul Zillerstraße";300
422202;4222;"Radebeul Zillerstraße";422203;4222;"Radebeul Zillerstraße";420
422203;4222;"Radebeul Zillerstraße";422202;4222;"Radebeul Zillerstraße";420
422203;4222;"Radebeul Zillerstraße";422201;4222;"Radebeul Zillerstraße";180
422203;4222;"Radebeul Zillerstraße";422203;4222;"Radebeul Zillerstraße";120
422301;4223;"Radebeul Dr.-Külz-Straße";422302;4223;"Radebeul Dr.-Külz-Straße";240
422301;4223;"Radebeul Dr.-Külz-Straße";422301;4223;"Radebeul Dr.-Külz-Straße";120
422302;4223;"Radebeul Dr.-Külz-Straße";422302;4223;"Radebeul Dr.-Külz-Straße";120
422302;4223;"Radebeul Dr.-Külz-Straße";422301;4223;"Radebeul Dr.-Külz-Straße";240
422401;4224;"Radebeul Borstraße";422401;4224;"Radebeul Borstraße";120
422501;4225;"Radebeul Moritzburger Straße";422502;4225;"Radebeul Moritzburger Straße";180
422501;4225;"Radebeul Moritzburger Straße";422501;4225;"Radebeul Moritzburger Straße";120
422501;4225;"Radebeul Moritzburger Straße";422503;4225;"Radebeul Moritzburger Straße";120
422502;4225;"Radebeul Moritzburger Straße";422501;4225;"Radebeul Moritzburger Straße";180
422502;4225;"Radebeul Moritzburger Straße";422503;4225;"Radebeul Moritzburger Straße";180
422502;4225;"Radebeul Moritzburger Straße";422502;4225;"Radebeul Moritzburger Straße";120
422503;4225;"Radebeul Moritzburger Straße";422501;4225;"Radebeul Moritzburger Straße";120
422503;4225;"Radebeul Moritzburger Straße";422503;4225;"Radebeul Moritzburger Straße";0
422503;4225;"Radebeul Moritzburger Straße";422502;4225;"Radebeul Moritzburger Straße";180
422601;4226;"Radebeul West (Flemmingstraße)";422601;4226;"Radebeul West (Flemmingstraße)";60
422601;4226;"Radebeul West (Flemmingstraße)";422603;4226;"Radebeul West (Flemmingstraße)";120
422603;4226;"Radebeul West (Flemmingstraße)";422601;4226;"Radebeul West (Flemmingstraße)";120
422603;4226;"Radebeul West (Flemmingstraße)";422603;4226;"Radebeul West (Flemmingstraße)";60
422701;4227;"Radebeul Schloss Wackerbarth";422702;4227;"Radebeul Schloss Wackerbarth";120
422701;4227;"Radebeul Schloss Wackerbarth";422701;4227;"Radebeul Schloss Wackerbarth";60
422702;4227;"Radebeul Schloss Wackerbarth";422702;4227;"Radebeul Schloss Wackerbarth";60
422702;4227;"Radebeul Schloss Wackerbarth";422701;4227;"Radebeul Schloss Wackerbarth";120
422801;4228;"Radebeul Johannisbergstraße";422801;4228;"Radebeul Johannisbergstraße";180
422801;4228;"Radebeul Johannisbergstraße";422802;4228;"Radebeul Johannisbergstraße";180
422802;4228;"Radebeul Johannisbergstraße";422801;4228;"Radebeul Johannisbergstraße";180
422802;4228;"Radebeul Johannisbergstraße";422802;4228;"Radebeul Johannisbergstraße";180
422901;4229;"Radebeul Gerhart-Hauptmann-Str";422902;4229;"Radebeul Gerhart-Hauptmann-Str";300
422901;4229;"Radebeul Gerhart-Hauptmann-Str";422901;4229;"Radebeul Gerhart-Hauptmann-Str";120
422902;4229;"Radebeul Gerhart-Hauptmann-Str";422902;4229;"Radebeul Gerhart-Hauptmann-Str";60
422902;4229;"Radebeul Gerhart-Hauptmann-Str";422901;4229;"Radebeul Gerhart-Hauptmann-Str";300
423001;4230;"Radebeul Eisenbahnbrücke";423001;4230;"Radebeul Eisenbahnbrücke";0
423001;4230;"Radebeul Eisenbahnbrücke";423002;4230;"Radebeul Eisenbahnbrücke";180
423002;4230;"Radebeul Eisenbahnbrücke";423002;4230;"Radebeul Eisenbahnbrücke";120
423002;4230;"Radebeul Eisenbahnbrücke";423001;4230;"Radebeul Eisenbahnbrücke";180
423301;4233;"Radebeul Gradsteg";423302;4233;"Radebeul Gradsteg";360
423301;4233;"Radebeul Gradsteg";423301;4233;"Radebeul Gradsteg";120
423301;4233;"Radebeul Gradsteg";423303;4233;"Radebeul Gradsteg";360
423302;4233;"Radebeul Gradsteg";423302;4233;"Radebeul Gradsteg";120
423302;4233;"Radebeul Gradsteg";423301;4233;"Radebeul Gradsteg";360
423302;4233;"Radebeul Gradsteg";423303;4233;"Radebeul Gradsteg";720
423303;4233;"Radebeul Gradsteg";423302;4233;"Radebeul Gradsteg";720
423303;4233;"Radebeul Gradsteg";423301;4233;"Radebeul Gradsteg";360
423303;4233;"Radebeul Gradsteg";423303;4233;"Radebeul Gradsteg";120
658301;6583;"Weixdorf Fuchsberg";658301;6583;"Weixdorf Fuchsberg";120
658401;6584;"Weixdorf Haltepunkt Bad";658401;6584;"Weixdorf Haltepunkt Bad";300
658401;6584;"Weixdorf Haltepunkt Bad";658402;6584;"Weixdorf Haltepunkt Bad";120
658402;6584;"Weixdorf Haltepunkt Bad";658401;6584;"Weixdorf Haltepunkt Bad";120
658402;6584;"Weixdorf Haltepunkt Bad";658403;6584;"Weixdorf Haltepunkt Bad";180
658403;6584;"Weixdorf Haltepunkt Bad";658403;6584;"Weixdorf Haltepunkt Bad";120
658403;6584;"Weixdorf Haltepunkt Bad";658402;6584;"Weixdorf Haltepunkt Bad";180
658404;6584;"Weixdorf Haltepunkt Bad";658404;6584;"Weixdorf Haltepunkt Bad";120
658801;6588;"Weixdorf (Rathenaustraße)";658802;6588;"Weixdorf (Rathenaustraße)";300
658801;6588;"Weixdorf (Rathenaustraße)";658801;6588;"Weixdorf (Rathenaustraße)";120
658802;6588;"Weixdorf (Rathenaustraße)";658802;6588;"Weixdorf (Rathenaustraße)";120
658802;6588;"Weixdorf (Rathenaustraße)";658801;6588;"Weixdorf (Rathenaustraße)";300
